city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Marbella,36.51543,-4.88583,1.0969903e-05,0.0,0.0,8.736717e-06,284.91953,287.19876,294.68997,290.59235,286.82404,283.41727,290.10483,284.5049,296.8558,291.28305,295.13998,285.6433,0.0025650105,0.0014792442,0.00040933292,0.002737363,4.359142,4.1954803,3.4622083,3.8431673
Jerez de la Frontera,36.686451,-6.13606,1.39077505e-08,0.0,0.0,0.0,285.587,288.36816,296.06366,291.74432,288.04782,283.6096,291.62354,285.78625,298.61584,292.2329,297.625,285.99863,0.0028107285,0.0014662624,0.00035966636,0.0023221096,4.299484,4.1313615,3.5878296,3.9218524
Málaga,36.720161,-4.42034,2.4231274e-05,6.794929e-07,0.0,2.1784836e-05,283.9826,286.75494,294.7733,290.03574,285.9443,282.3023,290.16147,283.68588,296.96176,291.20767,294.95425,284.58798,0.0021755907,0.0014531984,0.0003680229,0.0022803517,3.6927805,3.5076163,2.7644002,3.1469047
Roquetas de Mar,36.764191,-2.61475,5.5428347e-05,5.953842e-06,0.0,4.5259792e-05,284.59406,287.24393,295.4005,290.80087,286.42316,283.00418,290.6522,283.92548,297.77676,292.08203,295.97885,285.31113,0.0013664643,0.0010511504,0.00036119355,0.0017432637,4.569746,4.532565,3.8305738,4.118082
Almería,36.838139,-2.45974,0.00010434522,1.7870798e-05,0.0,7.786618e-05,283.46796,286.5644,295.16806,289.93054,285.38004,281.7244,290.38705,282.84848,297.61206,291.84848,295.5023,283.9309,0.0013221105,0.0012264993,0.0004958312,0.0017657254,4.054773,4.0491805,3.4740877,3.665426
Siracusa,37.085152,15.273,5.68231e-07,0.0,0.0,1.5497208e-06,285.61533,288.00217,296.81195,292.18686,287.3586,284.2462,291.69077,284.39633,299.8606,293.7089,297.1892,287.2698,0.0020918238,0.0007552571,0.00070705416,0.002718976,4.5764556,3.9763935,2.9077148,3.722549
Granada,37.188171,-3.60667,0.00026415786,3.508081e-05,0.0,0.00015062094,280.26288,284.23425,293.97748,287.48083,282.78842,277.66318,288.8695,280.03226,296.68384,289.70276,294.40283,280.41156,0.0024324774,0.0020132463,0.0005923629,0.002115659,2.6088548,2.5690885,2.0473557,2.2235994
Sevilla,37.382408,-5.97613,1.013279e-06,0.0,0.0,6.622739e-09,283.91443,288.15823,297.6646,291.403,286.00494,281.2131,292.48593,284.6783,301.15137,292.0944,298.81314,284.08762,0.0024226056,0.0015177091,0.0003929986,0.00198364,2.9216225,2.8356524,2.4447753,2.490863
Catania,37.502129,15.08719,5.8829784e-05,7.1790487e-07,0.0,1.1650721e-05,283.80652,286.8539,296.04572,290.64084,285.58844,282.3788,291.38623,282.5765,299.0748,293.121,296.06412,285.35263,0.0025715907,0.0011217515,0.00093741954,0.003099341,3.2716544,2.9701903,2.3712294,2.7247937
Cartagena,37.605122,-0.98623,4.6094257e-07,0.0,0.0,3.3775964e-07,285.5759,288.28268,296.36877,292.05206,287.38043,284.01584,291.4038,285.0811,299.24033,293.3378,296.8934,286.7815,0.001023282,0.00085874397,0.00046304066,0.0016102844,4.385406,4.279829,3.764091,3.98024
Marsala,37.796638,12.43518,1.5894573e-08,0.0,0.0,0.0,286.21066,288.11,296.31284,292.4784,288.01828,284.53116,291.28207,284.84586,299.7872,293.38925,296.95435,287.9908,0.0024211751,0.0009032514,0.0008161491,0.0027544075,6.3847904,5.821959,4.47424,5.474157
Córdoba,37.883331,-4.76667,2.8059218e-05,7.947286e-09,0.0,7.56979e-06,282.17712,287.0205,297.48746,290.1302,284.6917,278.76437,291.6787,282.46146,300.55142,292.18115,297.90152,282.20026,0.0023594566,0.0017064228,0.0004389127,0.0019334687,2.6992605,2.657564,2.337981,2.3001235
Piraeus,37.947449,23.637079,4.7913192e-05,0.0,0.0,1.3080239e-05,283.40143,288.3451,298.0669,291.2923,285.97653,281.43732,293.5089,283.3169,300.00732,295.90833,297.0995,285.6592,0.0020081142,0.00070784293,0.00036458173,0.001709489,3.6735525,3.039931,3.0022292,3.38663
Athens,37.97945,23.716221,5.983953e-05,0.0,0.0,1.5122802e-05,282.9854,288.4266,298.3594,291.01584,285.7937,281.02234,294.05984,282.97202,300.4518,296.25085,297.09576,285.39996,0.0020196915,0.0007994193,0.00041299043,0.0016738256,3.3359005,2.86567,2.8928308,3.1458282
Murcia,37.987041,-1.13004,9.6360845e-06,3.0464594e-08,0.0,3.93788e-06,283.4592,287.89532,297.03748,290.5884,285.7087,280.69016,292.0503,283.63348,299.9182,293.97128,296.69205,284.13467,0.0010551717,0.001110432,0.00059719087,0.0014926221,2.8699942,2.94498,2.61092,2.5620015
Palermo,38.115822,13.35976,9.846687e-06,6.9538753e-09,0.0,2.8947989e-06,284.4458,287.07208,295.97638,291.05594,286.2938,282.77377,291.1787,283.24658,299.45898,292.98438,296.07642,286.1757,0.0025806527,0.0013220946,0.00088895165,0.0026968638,4.2969947,3.8636923,2.884706,3.5830371
Messina,38.193272,15.54969,1.2392467e-05,3.973643e-08,0.0,8.477105e-07,284.81357,287.1596,295.7624,291.25302,286.72433,283.32315,291.0083,283.47592,298.84677,292.69034,295.97452,286.5823,0.0035773437,0.0014133983,0.0012602753,0.0036663401,4.2240376,3.9393275,3.199863,3.4641724
