city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Nicosia,35.25,33.25,1.624072e-05,7.7706794e-08,0.0,2.4018465e-07,284.88968,290.01187,300.3628,294.58475,287.75467,281.18478,295.951,284.3356,303.36264,296.98776,300.62415,287.51312,0.0019084647,0.0005392993,0.00010574482,0.0017062965,3.4037523,3.3333333,3.0787065,2.9535508
Nicosia,35.25,33.25,1.624072e-05,7.7706794e-08,0.0,2.4018465e-07,284.88968,290.01187,300.3628,294.58475,287.75467,281.18478,295.951,284.3356,303.36264,296.98776,300.62415,287.51312,0.0019084647,0.0005392993,0.00010574482,0.0017062965,3.4037523,3.3333333,3.0787065,2.9535508
North Nicosia,35.25,33.25,1.624072e-05,7.7706794e-08,0.0,2.4018465e-07,284.88968,290.01187,300.3628,294.58475,287.75467,281.18478,295.951,284.3356,303.36264,296.98776,300.62415,287.51312,0.0019084647,0.0005392993,0.00010574482,0.0017062965,3.4037523,3.3333333,3.0787065,2.9535508
North Nicosia,35.25,33.25,1.624072e-05,7.7706794e-08,0.0,2.4018465e-07,284.88968,290.01187,300.3628,294.58475,287.75467,281.18478,295.951,284.3356,303.36264,296.98776,300.62415,287.51312,0.0019084647,0.0005392993,0.00010574482,0.0017062965,3.4037523,3.3333333,3.0787065,2.9535508
Valletta,36.0,14.5,0.0,0.0,0.0,0.0,287.57077,289.1308,297.2442,294.77313,289.59723,285.5106,292.40433,286.5088,300.302,293.73325,298.24786,290.2389,0.0015993754,0.00036385146,0.00049735175,0.0021547952,7.2499266,6.0927744,4.1915293,5.850339
Valletta,36.0,14.5,0.0,0.0,0.0,0.0,287.57077,289.1308,297.2442,294.77313,289.59723,285.5106,292.40433,286.5088,300.302,293.73325,298.24786,290.2389,0.0015993754,0.00036385146,0.00049735175,0.0021547952,7.2499266,6.0927744,4.1915293,5.850339
Gibraltar,36.25,-5.25,3.915363e-06,0.0,0.0,3.3555207e-07,286.16028,288.84564,295.25705,291.51462,288.04773,284.5248,291.44617,286.65024,297.68338,291.61386,296.37796,287.70886,0.0026388275,0.0010708068,0.00044859428,0.0032718873,5.1470513,5.004909,4.499094,4.614657
Gibraltar,36.25,-5.25,3.915363e-06,0.0,0.0,3.3555207e-07,286.16028,288.84564,295.25705,291.51462,288.04773,284.5248,291.44617,286.65024,297.68338,291.61386,296.37796,287.70886,0.0026388275,0.0010708068,0.00044859428,0.0032718873,5.1470513,5.004909,4.499094,4.614657
Athens,38.0,23.75,6.111463e-05,1.7660636e-08,0.0,2.2761027e-05,282.85443,288.42615,299.00534,291.83023,285.24182,280.12445,294.51355,282.1915,300.8717,296.77335,298.62805,285.45648,0.0017653041,0.0006078862,0.00023596021,0.0016219775,3.4106128,2.9765482,2.9973092,3.0186403
Athens,38.0,23.75,6.111463e-05,1.7660636e-08,0.0,2.2761027e-05,282.85443,288.42615,299.00534,291.83023,285.24182,280.12445,294.51355,282.1915,300.8717,296.77335,298.62805,285.45648,0.0017653041,0.0006078862,0.00023596021,0.0016219775,3.4106128,2.9765482,2.9973092,3.0186403
Lisbon,38.75,-9.25,0.0,0.0,0.0,0.0,285.68454,288.16068,292.86145,290.3326,287.51868,283.6981,290.6631,286.01025,294.5516,290.261,293.78223,286.86258,0.0020741816,0.0012876298,0.00044220817,0.0027625544,5.1544886,5.3196435,5.5535636,5.016605
Lisbon,38.75,-9.25,0.0,0.0,0.0,0.0,285.68454,288.16068,292.86145,290.3326,287.51868,283.6981,290.6631,286.01025,294.5516,290.261,293.78223,286.86258,0.0020741816,0.0012876298,0.00044220817,0.0027625544,5.1544886,5.3196435,5.5535636,5.016605
Ankara,40.0,32.75,0.00069623167,5.4147506e-05,0.0,0.00026887964,274.07196,282.99304,294.55057,285.285,278.4954,268.8286,290.09796,275.39432,297.5994,291.60214,295.0916,276.34558,0.0016804165,0.0016533957,0.00052979786,0.001575032,2.1685953,2.3842838,2.4164073,2.1116815
Ankara,40.0,32.75,0.00069623167,5.4147506e-05,0.0,0.00026887964,274.07196,282.99304,294.55057,285.285,278.4954,268.8286,290.09796,275.39432,297.5994,291.60214,295.0916,276.34558,0.0016804165,0.0016533957,0.00052979786,0.001575032,2.1685953,2.3842838,2.4164073,2.1116815
Yerevan,40.25,44.5,0.0012229442,0.00036024692,1.4456114e-05,0.0006207581,268.8289,279.90317,292.53488,282.45102,274.12668,263.00278,287.31107,270.14572,295.49268,288.56415,290.04984,270.51404,0.0015855648,0.0032729325,0.0018794801,0.0013345436,1.7303718,1.81185,1.929184,1.7048355
Yerevan,40.25,44.5,0.0012229442,0.00036024692,1.4456114e-05,0.0006207581,268.8289,279.90317,292.53488,282.45102,274.12668,263.00278,287.31107,270.14572,295.49268,288.56415,290.04984,270.51404,0.0015855648,0.0032729325,0.0018794801,0.0013345436,1.7303718,1.81185,1.929184,1.7048355
Madrid,40.5,-3.75,0.00015526524,2.015255e-05,0.0,7.629306e-05,278.901,285.85294,296.77924,287.06815,282.34283,275.49887,291.3683,282.02872,300.43597,289.31763,294.78418,279.70975,0.0012601111,0.0014603933,0.00064209127,0.001971831,2.3292968,2.6095452,2.4114342,2.395495
Madrid,40.5,-3.75,0.00015526524,2.015255e-05,0.0,7.629306e-05,278.901,285.85294,296.77924,287.06815,282.34283,275.49887,291.3683,282.02872,300.43597,289.31763,294.78418,279.70975,0.0012601111,0.0014603933,0.00064209127,0.001971831,2.3292968,2.6095452,2.4114342,2.395495
Tirana,41.25,19.75,0.00024657956,1.4333372e-05,0.0,0.00011087965,279.94662,286.1747,295.95108,289.04495,282.7142,276.5561,291.63174,280.20755,298.5688,292.9934,294.96835,281.49817,0.0025932419,0.0026470467,0.0019039861,0.0048051304,2.6302226,2.3324084,1.9944075,2.333919
Tirana,41.25,19.75,0.00024657956,1.4333372e-05,0.0,0.00011087965,279.94662,286.1747,295.95108,289.04495,282.7142,276.5561,291.63174,280.20755,298.5688,292.9934,294.96835,281.49817,0.0025932419,0.0026470467,0.0019039861,0.0048051304,2.6302226,2.3324084,1.9944075,2.333919
Tbilisi,41.75,44.75,0.00093563925,4.6663812e-05,0.0,0.0004987787,271.23495,281.98663,293.34473,283.62592,275.6612,267.40857,288.5997,273.2348,297.3987,289.88248,290.46466,271.5299,0.0014623747,0.003238014,0.0022036023,0.0017753425,1.9135596,2.1233761,2.0584004,1.8711361
Tbilisi,41.75,44.75,0.00093563925,4.6663812e-05,0.0,0.0004987787,271.23495,281.98663,293.34473,283.62592,275.6612,267.40857,288.5997,273.2348,297.3987,289.88248,290.46466,271.5299,0.0014623747,0.003238014,0.0022036023,0.0017753425,1.9135596,2.1233761,2.0584004,1.8711361
Vatican City,42.0,12.5,4.3634132e-05,8.339352e-06,0.0,2.2462562e-05,280.68643,286.08386,295.97687,289.00494,282.98807,277.5574,291.48093,281.13464,299.0863,292.24362,294.505,283.141,0.001962478,0.0022487289,0.0017038769,0.0045789047,2.7081695,2.5928948,2.2055097,2.5916066
