city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Aachen,50.776642,6.08342,0.00044245276,2.974464e-05,0.0,0.00022328284,276.1505,282.53543,290.51913,283.5739,0.002661987,0.0024704488,0.0027434595,0.0026050974,4.5961246,3.6860733,3.2279413,3.901925,278.27545,274.11197,4.1634827,286.36472,278.55936,7.805359,294.68848,286.11887,8.569611,286.72693,280.6629,6.064026,4.516129032258065,2.419354838709677
Aberdeen,57.143688,-2.09814,0.00025257692,3.0008376e-05,0.0,7.596676e-05,278.42102,280.5567,286.5089,283.4935,0.002185228,0.0019745275,0.0023302916,0.0030102031,6.8805757,5.5205865,4.722353,6.211646,279.92892,276.97104,2.9578857,282.32407,278.68793,3.636139,288.2352,284.64053,3.5946655,285.1133,281.82422,3.289093,0.0,0.0
Aix-en-Provence,43.528301,5.44973,6.143936e-05,7.455921e-07,0.0,2.2337428e-05,280.45486,286.83826,296.20575,288.6037,0.0016990734,0.0017007363,0.0012424189,0.0027892368,4.215501,4.0990963,3.6815288,3.9466634,284.48508,277.0915,7.393585,291.15436,282.45444,8.699921,300.8998,291.24628,9.653534,292.83588,284.87067,7.96521,21.83870967741936,8.064516129032258
Alcalá de Henares,40.482052,-3.35996,0.00013145366,8.18015e-06,0.0,4.1007996e-05,279.04984,286.12888,297.46448,287.79752,0.0015579534,0.0014525801,0.0005881077,0.0020312895,2.5554788,2.7550457,2.5967503,2.4884207,283.73996,275.0573,8.682648,291.75552,280.3312,11.424316,304.17325,290.07108,14.102173,293.20895,282.69815,10.510803,68.7741935483871,24.83870967741936
Alicante,38.345169,-0.48149,2.0522799e-05,4.917917e-07,0.0,1.4482434e-05,284.59418,288.98868,297.88696,292.06046,0.001055356,0.0009954505,0.000813879,0.0013527913,3.5684028,3.4802928,3.0005696,3.1799414,288.2586,281.54404,6.714569,292.54434,285.46976,7.074585,301.4428,294.33557,7.107239,295.50272,288.98346,6.5192566,24.225806451612904,8.580645161290322
Almería,36.838139,-2.45974,9.0519585e-05,4.722653e-06,0.0,2.3498758e-05,284.2253,288.31683,296.95825,291.13904,0.0011257194,0.0008427644,0.0005117779,0.0012164757,3.9051669,4.050331,3.440301,3.5973616,287.10986,281.81854,5.291321,291.1925,285.36404,5.8284607,299.99466,293.75784,6.2368164,293.9475,288.53217,5.415344,6.935483870967742,2.4516129032258065
Amersfoort,52.154999,5.3875,0.00015602156,4.5921215e-06,0.0,7.5152166e-05,277.22754,282.97626,290.72653,284.38693,0.0022779107,0.0022367937,0.0026565776,0.0024188713,4.822042,4.0308795,3.5866394,4.116251,279.3336,275.15674,4.1768494,286.67917,279.05865,7.620514,294.60226,286.48856,8.1137085,287.4187,281.47543,5.943268,3.6774193548387095,2.064516129032258
Amiens,49.900002,2.3,0.00012698642,8.637226e-06,0.0,5.8091457e-05,277.8045,283.2468,290.83267,284.7487,0.0021032365,0.0021500913,0.0020384493,0.0024354414,4.5450454,3.910274,3.4297388,3.9252102,280.16315,275.50223,4.660919,287.15823,279.1693,7.988922,295.15155,286.23538,8.916168,288.17575,281.51822,6.6575317,3.774193548387097,2.129032258064516
Amsterdam,52.374031,4.88969,0.00013471964,2.6844523e-06,0.0,6.0814044e-05,277.758,282.62006,290.33447,284.92926,0.0022898053,0.0021254073,0.0028475805,0.0028177558,5.9654417,4.8819113,4.3752604,5.178881,279.4628,276.0698,3.3930054,285.3792,279.70822,5.67099,293.15863,287.23657,5.922058,287.22455,282.67816,4.5463867,0.5483870967741935,0.4516129032258064
Angers,47.466671,-0.55,5.71068e-05,1.5552753e-07,0.0,1.870304e-05,279.1843,284.5263,292.3186,286.02744,0.002058935,0.0019867625,0.0016399422,0.002455015,4.173621,3.7685907,3.314032,3.6379435,282.09183,276.39505,5.6967773,288.94852,279.99866,8.94986,297.3253,287.06976,10.255524,290.20023,282.17487,8.02536,9.387096774193548,3.741935483870968
Antwerpen,51.219891,4.40346,0.0001285136,3.2101052e-06,0.0,7.24831e-05,277.63663,283.44678,291.12057,284.77927,0.0022021572,0.0021735912,0.0024433392,0.0023635717,4.5862494,3.8279812,3.4040852,3.9193056,279.79712,275.51877,4.278351,287.2241,279.50598,7.718109,295.1243,286.82806,8.296234,287.93445,281.80563,6.1288147,4.548387096774194,2.290322580645161
Apeldoorn,52.209999,5.96944,0.0001747463,5.9875256e-06,0.0,8.221196e-05,276.90698,282.89026,290.74576,284.1181,0.0022962233,0.0022756753,0.002675796,0.0023673591,4.632063,3.8645036,3.436976,3.95975,279.1139,274.72183,4.3920593,286.8727,278.652,8.220703,294.9362,286.15997,8.776215,287.3409,281.01465,6.3262634,4.612903225806452,2.3548387096774195
Arezzo,43.461391,11.87691,0.0003936526,1.3078627e-05,0.0,0.0001373981,277.8036,284.76724,294.98856,286.63345,0.002636935,0.0025755872,0.0020724966,0.003533553,2.2854607,2.3338878,1.97458,2.14834,281.23807,274.74762,6.490448,289.31958,280.2717,9.047882,300.2911,289.70123,10.589874,290.8846,282.8445,8.0401,21.90322580645161,8.258064516129032
Arnhem,51.98,5.91111,0.0001711465,5.306309e-06,0.0,8.488086e-05,277.0174,283.07397,290.924,284.22977,0.0023155776,0.0022282223,0.0025935532,0.0023802249,4.4937906,3.743628,3.33259,3.835994,279.2236,274.84048,4.3831177,287.07257,278.83395,8.238617,295.1444,286.3318,8.812622,287.47614,281.12518,6.350952,4.967741935483871,2.4838709677419355
Athens,37.97945,23.716221,7.450737e-05,5.6969793e-09,0.0,1.0788939e-05,283.4762,289.1304,299.75912,292.27377,0.0018772652,0.00068770396,0.00039029092,0.0016290614,3.347352,2.9659343,3.093083,3.06194,286.55594,280.6072,5.9487305,293.31927,285.00952,8.309753,304.16574,295.2159,8.949829,296.127,288.76627,7.3607483,70.74193548387096,24.64516129032258
Augsburg,48.366669,10.88333,0.0006706904,6.646335e-05,6.6238067e-07,0.0004027308,274.31396,282.38345,291.3135,282.51514,0.0022118764,0.003175995,0.0032430592,0.0023387196,3.3000238,2.9522583,2.4424317,2.6982083,277.01105,271.86542,5.14563,286.95758,277.92728,9.030304,296.1639,286.53946,9.624451,286.35394,279.23883,7.1151123,6.870967741935484,3.064516129032258
Avignon,43.948341,4.80892,7.637278e-05,2.224439e-06,0.0,2.4121615e-05,280.11575,287.08862,296.7866,288.41095,0.0017204387,0.0018662028,0.0016138951,0.002877786,3.9128625,3.8366265,3.5977707,3.6831415,284.23175,276.71704,7.5147095,291.9677,282.30054,9.667175,302.24118,291.2542,10.986969,293.0553,284.4235,8.631805,42.67741935483871,14.225806451612904
Barcelona,41.38879,2.15899,3.557532e-05,1.3715477e-07,0.0,1.0332433e-05,282.7218,287.06137,295.9334,290.41156,0.0014612386,0.0017070892,0.0019697451,0.00229183,3.579199,3.4345453,2.8854196,3.301437,285.6707,280.20166,5.4690247,289.87213,284.2412,5.6309204,298.5733,293.2076,5.365692,293.03598,287.95413,5.081848,2.225806451612903,1.6451612903225807
Bari,41.117729,16.851179,2.7354366e-05,9.0720835e-07,0.0,7.895693e-06,283.42224,287.92206,297.9511,291.36456,0.0020388141,0.0012474932,0.0010521591,0.002274444,4.7512646,4.253382,3.7283542,4.0560045,285.48828,281.5399,3.9483948,290.39978,285.47623,4.9235535,300.57678,295.21478,5.3619995,293.72787,289.20535,4.522522,17.967741935483872,6.548387096774194
Basel,47.558399,7.57327,0.00075007416,8.5764834e-05,8.460014e-08,0.00044136262,275.01782,282.7343,291.53674,283.05212,0.0030375277,0.0038483418,0.003725716,0.0033195787,2.541783,2.3550284,1.9628116,2.105095,277.78433,272.57214,5.2121887,287.26175,278.33398,8.927765,296.40326,286.7598,9.643463,286.96228,279.78387,7.178406,7.451612903225806,3.419354838709677
