city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Aachen,50.776642,6.08342,278.27545,274.11197,4.1634827,286.36472,278.55936,7.805359,294.68848,286.11887,8.569611,286.72693,280.6629,6.064026,4.516129032258065,2.4193548387096775
Aberdeen,57.143688,-2.09814,279.92892,276.97104,2.9578857,282.32407,278.68793,3.636139,288.2352,284.64053,3.5946655,285.1133,281.82422,3.289093,0.0,0.0
Aix-en-Provence,43.528301,5.44973,284.48508,277.0915,7.393585,291.15436,282.45444,8.699921,300.8998,291.24628,9.653534,292.83588,284.87067,7.96521,21.838709677419356,8.064516129032258
Alcalá de Henares,40.482052,-3.35996,283.73996,275.0573,8.682648,291.75552,280.3312,11.424316,304.17325,290.07108,14.102173,293.20895,282.69815,10.510803,68.7741935483871,24.838709677419356
Alicante,38.345169,-0.48149,288.2586,281.54404,6.714569,292.54434,285.46976,7.074585,301.4428,294.33557,7.107239,295.50272,288.98346,6.5192566,24.225806451612904,8.580645161290322
Almería,36.838139,-2.45974,287.10986,281.81854,5.291321,291.1925,285.36404,5.8284607,299.99466,293.75784,6.2368164,293.9475,288.53217,5.415344,6.935483870967742,2.4516129032258065
Amersfoort,52.154999,5.3875,279.3336,275.15674,4.1768494,286.67917,279.05865,7.620514,294.60226,286.48856,8.1137085,287.4187,281.47543,5.943268,3.6774193548387095,2.064516129032258
Amiens,49.900002,2.3,280.16315,275.50223,4.660919,287.15823,279.1693,7.988922,295.15155,286.23538,8.916168,288.17575,281.51822,6.6575317,3.774193548387097,2.129032258064516
Amsterdam,52.374031,4.88969,279.4628,276.0698,3.3930054,285.3792,279.70822,5.67099,293.15863,287.23657,5.922058,287.22455,282.67816,4.5463867,0.5483870967741935,0.45161290322580644
Angers,47.466671,-0.55,282.09183,276.39505,5.6967773,288.94852,279.99866,8.94986,297.3253,287.06976,10.255524,290.20023,282.17487,8.02536,9.387096774193548,3.7419354838709675
Antwerpen,51.219891,4.40346,279.79712,275.51877,4.278351,287.2241,279.50598,7.718109,295.1243,286.82806,8.296234,287.93445,281.80563,6.1288147,4.548387096774194,2.2903225806451615
Apeldoorn,52.209999,5.96944,279.1139,274.72183,4.3920593,286.8727,278.652,8.220703,294.9362,286.15997,8.776215,287.3409,281.01465,6.3262634,4.612903225806452,2.3548387096774195
