city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Aachen,50.776642,6.08342,0.002854008,0.0019493445,0.0025698896,0.0022721696,0.00032091318,8.8276094e-05,1.3268574e-08,4.8013888e-05,4.7908573,3.6804852,3.269181,3.9841454,277.0618,283.0048,291.43854,284.69983,279.9102,287.67172,296.64227,288.8644,274.2199,278.2656,286.1779,280.71454
Aberdeen,57.143688,-2.09814,0.002331541,0.001496217,0.0022434725,0.0025392189,0.00017284977,7.511933e-05,1.6533022e-08,1.853613e-05,6.9966416,5.625772,4.720471,5.942803,278.16202,280.61545,286.48868,282.8613,280.42734,283.46457,289.44873,285.35352,275.8414,277.5966,283.36832,280.2708
Aix-en-Provence,43.528301,5.44973,0.0014510212,0.002227176,0.00084353855,0.0031122207,1.5652175e-05,3.5397989e-06,2.140057e-09,4.3988016e-06,3.288836,3.40559,3.0213478,3.0908215,280.19873,286.30182,295.96286,289.30853,283.9547,290.65475,300.97025,293.44815,277.02194,281.92047,290.6984,285.56534
Alcalá de Henares,40.482052,-3.35996,0.0012208172,0.0017130766,0.0007099353,0.0016387228,0.00013372536,5.25946e-05,1.6104165e-06,5.802752e-05,2.069103,2.3695288,2.33527,2.137385,279.947,285.94443,297.1402,288.47736,285.34952,291.83685,304.57162,294.37653,275.20126,279.93463,289.2536,282.95215
Alicante,38.345169,-0.48149,0.0011818254,0.0016067332,0.0004504168,0.0016390256,1.6075594e-05,1.0899473e-06,2.7705864e-09,2.7376213e-06,2.6840878,2.5964787,2.3421693,2.401337,283.92856,288.82498,298.57407,292.3117,289.60632,294.51727,304.65045,298.02078,279.11105,283.28485,292.57416,287.26874
Almería,36.838139,-2.45974,0.001212358,0.0010214444,0.0002997016,0.0012135676,0.00014891614,1.6480724e-05,1.7422446e-09,1.2268001e-05,1.8239201,2.154013,1.9172579,1.8999977,282.51703,287.4959,297.47302,290.77954,288.0416,292.8487,303.37796,296.36713,278.08734,282.08432,291.15747,285.81384
Amersfoort,52.154999,5.3875,0.0025259198,0.0017256392,0.0021757064,0.0023822952,0.0001229442,1.9119727e-05,3.919527e-09,1.8764273e-05,4.972514,3.9557686,3.4816365,4.0707,277.59955,282.86005,290.64722,284.40308,280.28348,287.40555,295.67288,288.42526,274.87518,278.15155,285.2813,280.47614
Amiens,49.900002,2.3,0.0024053873,0.001748907,0.0023594263,0.0024184112,0.00014603695,1.515937e-05,8.01124e-09,2.0895606e-05,4.6320066,3.8501658,3.3742442,3.9043095,278.4889,283.71405,291.43695,285.72333,280.981,287.74493,296.05267,289.42465,275.95786,279.49924,286.60858,282.1131
Amsterdam,52.374031,4.88969,0.002697312,0.0017848981,0.0023172204,0.0029694294,0.00011790395,1.5199071e-05,6.9661565e-09,1.928075e-05,6.3908176,5.017464,4.4274654,5.3187037,277.66992,282.46906,290.06253,284.84396,279.78162,285.81412,293.63275,287.84967,275.4806,278.95334,286.0482,281.83
Angers,47.466671,-0.55,0.0022662147,0.0017268207,0.0014375199,0.0023332508,2.4861121e-05,4.2277184e-06,7.1801054e-09,6.130382e-06,3.9690816,3.5184517,3.1334682,3.4883752,279.36472,284.82083,292.72998,286.7129,282.5776,289.71503,298.3703,291.53873,276.12933,279.7279,286.82843,282.13934
Antwerpen,51.219891,4.40346,0.0023847946,0.0016180441,0.0023268217,0.002211986,0.00012022382,1.8368006e-05,9.730806e-09,1.4220944e-05,4.754094,3.8396485,3.3939178,3.9506295,278.23816,283.47296,291.57343,285.1537,281.01883,287.90717,296.42615,289.16077,275.46063,278.89587,286.55194,281.26224
Apeldoorn,52.209999,5.96944,0.0026524302,0.0017531207,0.0023613614,0.002349548,0.00013258895,2.5559351e-05,2.240022e-09,2.6375541e-05,4.9159718,3.8902912,3.4675598,4.024734,277.6024,282.8239,290.50412,284.32086,280.15256,287.3333,295.48227,288.28082,274.97626,278.16473,285.16525,280.4456
Arezzo,43.461391,11.87691,0.0016261722,0.00241643,0.0015772788,0.0035969508,0.0003108067,5.269912e-05,4.7423163e-09,8.06457e-05,2.0648298,2.0882556,1.8121519,1.9858973,277.05228,283.586,294.23187,286.59213,280.2577,287.60953,299.32794,290.39407,274.1603,279.61264,289.2362,283.19904
Arnhem,51.98,5.91111,0.0025989325,0.0016861816,0.002278109,0.002272201,0.00013391871,2.4091243e-05,6.0137944e-09,2.4112178e-05,4.735454,3.753875,3.3481114,3.9067504,277.73358,282.9841,290.87183,284.4762,280.34732,287.5458,295.9908,288.51086,275.08337,278.28613,285.50858,280.55035
Athens,37.97945,23.716221,0.0020100235,0.0011168108,0.00022707929,0.0014688771,7.4899595e-05,5.7600362e-05,4.52881e-10,7.4223937e-07,2.5548563,2.4812217,2.6425362,2.4067433,282.2379,287.73358,299.30905,291.82297,285.9661,292.59894,304.96246,296.5245,278.65018,282.97443,293.3504,287.5983
Augsburg,48.366669,10.88333,0.0020866727,0.0019970252,0.0033943816,0.0020094526,0.00070421706,0.00013733335,2.1202728e-08,0.00015836218,3.3022416,2.7839103,2.3989196,2.6629837,274.2498,282.79596,292.4254,283.74042,277.15594,287.94714,298.09332,288.383,271.5388,277.7928,287.01852,279.67862
