city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Aachen,50.776642,6.08342,8.9,3.0,0.0031418903,0.002263542,0.0026769233,0.0025968265,0.0003940551,6.855172e-05,1.6923419e-08,5.3139272e-05,4.496665,3.6209457,3.2259688,3.973615,277.08514,283.3305,291.5062,284.72476,279.90115,288.01535,296.625,288.78192,274.26593,278.50693,286.28775,280.95404,5.6352234,9.508423,10.33725,7.827881
Aberdeen,57.143688,-2.09814,0.0,0.0,0.0026408583,0.0018798125,0.001979252,0.002911385,0.00022780705,7.631911e-05,1.2721752e-08,1.46579105e-05,6.515926,5.3834887,4.5105386,6.0903683,277.97766,280.7533,286.95682,283.0838,280.0965,283.6237,290.01178,285.5524,275.70837,277.71457,283.75613,280.5514,4.3881226,5.9091187,6.2556458,5.001007
Aix-en-Provence,43.528301,5.44973,27.933333333333334,12.533333333333333,0.0019241481,0.002025644,0.00083520054,0.003025627,1.8081124e-05,2.1556707e-06,1.3387284e-09,4.839599e-06,3.2190788,3.443286,3.0820198,3.1051812,280.681,286.35175,296.15854,289.30515,284.43445,290.86087,301.20718,293.5489,277.48102,281.8026,290.8146,285.5628,6.95343,9.058258,10.392578,7.986084
Alcalá de Henares,40.482052,-3.35996,81.3,39.6,0.0014046956,0.0014078697,0.0006167338,0.0015877647,0.00016137131,3.6257014e-05,1.026475e-06,3.1933487e-05,2.2791183,2.4622445,2.323252,2.117768,280.0898,286.27533,297.70612,288.99707,285.43796,292.71237,305.38898,295.2543,275.33533,279.64014,289.39578,283.1238,10.102631,13.072235,15.993195,12.130493
Alicante,38.345169,-0.48149,90.53333333333333,50.333333333333336,0.0011708015,0.00111139,0.00036102452,0.0017909275,1.060034e-05,3.4710367e-06,2.022068e-09,1.5681799e-06,2.8411896,2.6854398,2.3193884,2.4157574,284.24298,288.95853,298.91684,292.54114,290.03122,295.00177,305.16785,298.3931,279.34412,283.03305,292.7484,287.4171,10.687103,11.9687195,12.419434,10.975983
Almería,36.838139,-2.45974,70.56666666666666,39.03333333333333,0.0012572993,0.000844721,0.00025603705,0.0011124689,0.00014265174,3.0049814e-05,4.126535e-10,1.7312237e-05,2.0179822,2.1540613,1.908903,1.8747978,282.68692,287.66583,297.87198,291.14862,288.30188,293.2686,303.94888,296.8594,278.1447,281.93973,291.37778,286.0997,10.157166,11.328857,12.571106,10.759705
Amersfoort,52.154999,5.3875,5.633333333333334,2.4,0.0028738861,0.0020304408,0.0024702204,0.002714412,0.00016353546,1.9590632e-05,4.868442e-09,1.2481238e-05,4.6337857,3.9007342,3.4622831,4.1153836,277.69363,283.23654,290.85953,284.541,280.3494,287.82428,295.79675,288.52853,274.96445,278.3814,285.56332,280.771,5.3849487,9.442871,10.233429,7.757538
Amiens,49.900002,2.3,5.933333333333334,2.4,0.003001955,0.0021676265,0.0023689508,0.0025027292,0.00017331673,1.9418794e-05,6.5622894e-09,1.1281639e-05,4.4911637,3.8102713,3.3867047,3.9117901,278.57028,283.9294,291.64243,285.79083,280.99084,287.94153,296.16055,289.46115,276.1127,279.76886,286.90524,282.24548,4.8781433,8.172668,9.25531,7.2156677
Amsterdam,52.374031,4.88969,0.3333333333333333,0.23333333333333334,0.0030947393,0.0021204331,0.0026545897,0.0033147663,0.00016098388,1.5752832e-05,6.840521e-09,7.907332e-06,6.0170345,4.994725,4.4277973,5.4263473,277.8349,282.84207,290.33493,284.99985,279.9401,286.25168,293.8444,288.00873,275.61288,279.18246,286.38034,282.05432,4.3272095,7.069214,7.4640503,5.9544067
Angers,47.466671,-0.55,17.4,5.666666666666667,0.0027744567,0.0019881076,0.0014820794,0.002270402,5.1816027e-05,5.664469e-06,8.1724805e-09,5.923878e-07,4.0326366,3.6265059,3.19327,3.440427,279.48947,284.77835,292.91873,286.78253,282.64423,289.65125,298.49167,291.49042,276.38608,279.7878,287.11136,282.34857,6.258148,9.863434,11.38031,9.141846
