city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Aachen,50.776642,6.08342,15.9,5.733333333333333,0.003040718,0.0024949291,0.0024836496,0.0024834748,0.00032526732,9.1485796e-05,1.1787103e-08,3.510128e-05,4.653462,3.8561966,3.3031929,4.019195,276.98676,283.33585,292.45126,285.25516,279.74878,287.91617,297.89203,289.32465,274.25098,278.65305,286.89792,281.47336,5.4978027,9.263123,10.99411,7.851288
Aberdeen,57.143688,-2.09814,0.0,0.0,0.002544786,0.0020694437,0.0021220783,0.0029053139,0.00015101656,7.685997e-05,4.0860137e-08,1.5862774e-05,6.6895146,5.5765896,4.5409713,5.9780245,278.31155,280.8494,287.40662,283.60272,280.41797,283.6217,290.49454,286.0265,276.05765,277.93674,284.17172,281.08563,4.360321,5.684967,6.322815,4.940857
Aix-en-Provence,43.528301,5.44973,37.46666666666667,17.8,0.0019245594,0.0017038154,0.00087498024,0.0030938184,2.4313273e-05,2.5624943e-06,5.7127076e-09,6.2658146e-06,3.3430383,3.452829,2.951119,3.0101056,280.63437,286.36435,296.75522,289.42862,284.3482,290.8699,301.8102,293.60287,277.4873,281.84286,291.40875,285.70578,6.860901,9.027039,10.401459,7.8970947
Alcalá de Henares,40.482052,-3.35996,88.8,48.3,0.0014452914,0.0012521738,0.00059189077,0.001503154,0.00019948238,3.8752667e-05,6.91213e-08,5.4716493e-05,2.2674546,2.6280022,2.4014165,2.1743894,279.76715,286.49554,298.3965,289.11578,285.07788,293.13162,306.38348,295.54904,275.04263,279.7272,289.8937,283.12936,10.035248,13.404419,16.489777,12.419678
Alicante,38.345169,-0.48149,94.23333333333333,58.03333333333333,0.0012007252,0.0010037221,0.0003596628,0.0018013532,1.8940153e-05,7.739492e-06,3.3468555e-09,7.190729e-07,2.8490596,2.728293,2.3591816,2.4531245,284.06567,289.326,299.6025,292.68393,289.80844,295.63242,305.92105,298.5497,279.1657,283.2036,293.39633,287.57498,10.642731,12.4288025,12.524719,10.974731
Almería,36.838139,-2.45974,76.53333333333333,45.9,0.0010822974,0.000698588,0.00026775288,0.0011398812,0.00014519136,3.9631486e-05,4.775702e-10,1.36070985e-05,2.0051787,2.1393845,1.9558308,1.9286637,282.5613,288.0279,298.5424,291.2827,288.15125,293.8642,304.6144,297.03043,278.00128,282.0787,292.05618,286.2496,10.149963,11.785492,12.558228,10.780823
Amersfoort,52.154999,5.3875,9.466666666666667,4.0,0.0028166312,0.0022402594,0.0024806107,0.00259651,0.00013157865,3.1368032e-05,5.5205605e-09,1.3491232e-05,4.7776423,4.080569,3.4279974,4.0266356,277.70453,283.2565,291.66992,285.02884,280.33832,287.77664,296.8124,288.93945,275.00882,278.54376,286.17923,281.30432,5.3294983,9.23288,10.633179,7.635132
Amiens,49.900002,2.3,10.833333333333334,4.3,0.002778268,0.0023308264,0.0024207751,0.0025401064,0.0001245984,2.8948585e-05,1.1381074e-08,8.074485e-06,4.5522823,4.0596375,3.367278,3.8956769,278.46155,283.9914,292.52512,286.26428,280.90436,287.9183,297.25998,289.8398,276.00937,279.96417,287.58847,282.82492,4.894989,7.954132,9.671509,7.0148926
Amsterdam,52.374031,4.88969,1.3,0.8666666666666667,0.0031148803,0.0023179925,0.0027372963,0.0031331698,0.00013432695,2.576822e-05,7.749594e-09,7.979592e-06,6.164773,5.15238,4.322151,5.243894,277.95358,282.89005,291.0364,285.48276,280.02457,286.26352,294.6683,288.3749,275.76822,279.32224,286.96295,282.6168,4.2563477,6.941284,7.705353,5.7581177
Angers,47.466671,-0.55,25.133333333333333,7.766666666666667,0.0025326724,0.0022226723,0.0015185423,0.0021860492,3.7352103e-05,6.4355354e-06,6.897453e-09,2.521449e-06,4.0075016,3.84143,3.182989,3.467645,279.3028,284.87875,293.713,287.1312,282.44788,289.56686,299.4709,291.8206,276.17978,280.1142,287.79248,282.72894,6.268097,9.452667,11.678406,9.091644
