city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Aachen,50.776642,6.08342,0.0027582636,0.0026526372,0.0025944249,0.002375986,0.00047123965,0.0001304789,1.3380735e-08,5.2828902e-05,4.269552,3.8386388,3.3043892,3.8861396,275.73386,282.62415,291.7481,284.90753,278.46384,287.1043,297.0759,288.87653,273.03787,278.03183,286.2679,281.2162
Aberdeen,57.143688,-2.09814,0.0024161472,0.0020687743,0.0018765766,0.002609547,0.00017437036,0.0001303437,5.7419807e-09,7.645771e-06,6.2676725,5.519332,4.561439,6.036209,277.81607,280.06735,286.97867,283.39407,279.88895,282.78265,290.02414,285.8481,275.57663,277.19785,283.7619,280.83228
Aix-en-Provence,43.528301,5.44973,0.0019228401,0.001986615,0.00088564435,0.003282853,2.6422436e-05,2.7524304e-06,2.9935425e-09,8.7943035e-06,3.5010283,3.6142554,3.0434408,3.0526507,279.6724,285.7354,296.16644,289.0428,283.5123,290.16183,301.2023,293.214,276.42957,281.25763,290.85657,285.31128
Alcalá de Henares,40.482052,-3.35996,0.0015609958,0.0014471284,0.00055718666,0.001522691,0.00028849533,4.1093164e-05,1.8018928e-07,6.0671067e-05,2.3390658,2.7833753,2.3801022,2.1198611,278.9953,285.77234,297.74506,288.72125,283.91116,292.06845,305.5781,295.12762,274.5311,279.31915,289.3972,282.6971
Alicante,38.345169,-0.48149,0.0015560539,0.0011748965,0.00040386748,0.0017758452,3.3901157e-05,1.6407046e-05,5.1662172e-09,5.353977e-07,3.0408561,2.834045,2.3443975,2.4373121,283.30447,288.7093,298.93243,292.0224,288.74554,294.89154,305.13153,297.73425,278.60632,282.69565,292.84894,287.00833
Almería,36.838139,-2.45974,0.0013397288,0.0008131328,0.00026194766,0.0013231711,0.000163145,8.116043e-05,2.7041108e-10,3.076918e-05,2.0992475,2.2183313,1.9442291,1.9509827,281.92142,287.38696,297.9179,290.65656,287.24448,293.12396,303.9748,296.24164,277.52405,281.53915,291.45615,285.77676
Amersfoort,52.154999,5.3875,0.0025729716,0.0023032834,0.0026054024,0.0024656053,0.00021066656,4.7947156e-05,3.7923797e-09,2.0335985e-05,4.4308243,4.0504346,3.4598243,3.9079292,276.61658,282.51312,291.04553,284.71356,279.21783,287.00327,296.13483,288.5148,273.90988,277.82758,285.59674,281.0685
Amiens,49.900002,2.3,0.0026268417,0.0025721474,0.0024816487,0.0024497632,0.00018621958,4.4933142e-05,8.705077e-09,4.6426126e-06,4.279653,4.0796356,3.3814182,3.7536857,277.35022,283.33954,291.85345,286.00616,279.79138,287.20782,296.5122,289.57297,274.8859,279.38266,287.0039,282.5477
Amsterdam,52.374031,4.88969,0.0029032791,0.0022923327,0.0028327939,0.0029155707,0.00018840749,3.4655335e-05,6.1972023e-09,1.0469737e-05,5.7559137,5.098057,4.383284,5.1028323,277.03333,282.1518,290.45734,285.1484,279.093,285.5283,294.0646,287.9811,274.8262,278.56503,286.41962,282.3201
Angers,47.466671,-0.55,0.0023075968,0.0025255482,0.001576023,0.0020473066,4.876745e-05,6.355687e-06,7.93332e-09,5.1989955e-06,3.8549514,3.910616,3.230013,3.3369548,278.2302,284.33478,293.09067,286.79547,281.49564,288.94067,298.75604,291.5379,275.01135,279.71777,287.21222,282.3499
Antwerpen,51.219891,4.40346,0.0024187863,0.0023493464,0.00256149,0.0023072648,0.0001849823,5.2869833e-05,1.0550203e-08,1.9264819e-05,4.247729,3.9301891,3.390386,3.8157272,276.9829,283.0926,291.96533,285.4502,279.63217,287.4039,296.92892,289.21902,274.30505,278.6505,286.8366,281.87164
Apeldoorn,52.209999,5.96944,0.0025440555,0.0022564523,0.0027475148,0.0024882636,0.00020538969,3.7348273e-05,4.336921e-09,1.1535371e-05,4.330647,4.0068336,3.4463234,3.8607516,276.68802,282.46774,290.87054,284.6048,279.16632,286.89316,295.87006,288.3234,274.11227,277.84003,285.46753,281.0224
Arezzo,43.461391,11.87691,0.0022697428,0.0021835288,0.0014378305,0.0032173502,0.00047758428,6.305931e-05,4.9905466e-09,9.0896894e-05,2.2209337,2.3376727,1.8272368,2.0188808,276.3627,283.24554,294.15787,286.20178,279.2802,287.30295,299.23077,289.91986,273.61682,279.29303,289.13843,282.81815
Arnhem,51.98,5.91111,0.0024567263,0.0022594028,0.0025300288,0.0023695459,0.00020379535,4.895986e-05,7.0566886e-09,1.3783091e-05,4.1917806,3.8615031,3.3621356,3.7745788,276.66788,282.63336,291.25354,284.75983,279.1829,287.0974,296.44675,288.55444,274.0704,278.00555,285.76627,281.13083
Athens,37.97945,23.716221,0.0025389926,0.0011407482,0.00024168703,0.0012730875,6.20658e-05,8.560629e-06,3.332145e-10,8.931337e-07,2.6829643,2.5083222,2.5302505,2.494473,282.34613,287.93634,299.41058,291.50513,285.98587,292.81967,304.8658,296.2326,278.9026,283.20425,293.71515,287.20258
Augsburg,48.366669,10.88333,0.0018394642,0.0021380098,0.003433833,0.0019122548,0.00064048765,0.00018022397,4.7424066e-08,7.5679956e-05,3.1587088,2.9152694,2.4587991,2.6436214,273.1924,282.41025,292.34808,283.61926,276.03635,287.5279,298.0529,287.9905,270.40256,277.44952,286.78433,279.76752
Avignon,43.948341,4.80892,0.0018863865,0.0021628372,0.0011620696,0.003774394,0.0001073976,2.360222e-05,4.0456392e-08,4.9211678e-05,3.4656236,3.5775323,3.225185,3.0922446,278.66412,285.44012,296.1024,288.32358,282.52167,290.30286,301.90186,292.83276,275.40146,280.66006,290.22824,284.3164
Barcelona,41.38879,2.15899,0.0016832837,0.0014077895,0.0016141301,0.0021399064,6.302876e-05,1.0471382e-05,1.8285202e-09,1.4000301e-07,2.381119,2.3679779,2.019164,1.930692,281.1971,286.47577,296.5552,289.98224,285.64163,291.30005,301.43594,294.75555,277.50076,281.83948,291.8015,285.89615
Bari,41.117729,16.851179,0.0027606532,0.0015582438,0.00061033113,0.0022159105,5.7767225e-05,3.7254085e-06,1.876145e-09,1.5406246e-06,3.8874502,3.530494,2.884736,3.1306002,281.63065,287.32675,298.2499,290.93304,285.25134,291.86517,303.59695,295.3566,278.18433,282.89606,292.66092,287.02744
Basel,47.558399,7.57327,0.0031622136,0.0034373454,0.0032738592,0.003042096,0.0009542534,0.00035470637,4.5657045e-05,0.00010519114,2.1492207,2.2101045,1.8467743,1.8794391,274.0964,282.44684,292.1502,284.18497,276.89676,287.14273,297.71436,288.3416,271.43753,277.8477,286.69067,280.5733
Bath,51.377949,-2.35907,0.0024125746,0.0027294843,0.001964509,0.002457311,0.00012224236,8.499819e-05,4.018795e-09,1.16432475e-05,4.392786,4.3737574,3.647575,4.0258536,277.66995,281.8117,290.10626,284.81656,280.41486,285.7968,294.65106,288.30096,274.75168,277.7333,285.37964,281.2152
