city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Mariehamn,60.0,20.0,0.0024954337,0.0013949877,0.0022087435,0.002857274,0.0008955653,0.00018867475,8.299632e-09,0.00012930743,7.9733753,6.238716,5.360881,6.8662963,275.94266,279.3279,290.51947,283.43552,277.1431,280.8194,292.09903,284.7775,274.6329,277.7072,288.56244,282.00946
Tirana,41.25,19.75,0.0031536408,0.0023560517,0.0011687513,0.0032459293,0.0001461194,1.3203024e-05,7.581086e-09,2.3531673e-05,2.1875973,1.8147352,1.5058874,1.7326847,281.3943,288.264,299.6424,291.529,285.97,293.71393,306.50803,297.58804,277.28433,282.62637,292.26892,286.42825
Andorra la Vella,42.5,1.5,0.001956348,0.002281007,0.0018996712,0.002807414,0.00080215704,0.0005835522,4.8208485e-06,0.00024526395,1.6526982,1.6655719,1.5118123,1.4909968,276.5945,282.2888,293.63446,285.2918,281.01935,287.7455,300.01205,290.2774,272.77405,276.6638,287.0254,280.77264
Yerevan,40.25,44.5,0.0013497882,0.0025435796,0.0010889603,0.0012876438,0.00115213,0.00070738955,1.1156247e-06,0.00022968669,1.2347306,1.4020827,1.6681865,1.2879819,269.66672,282.28085,296.09763,285.45178,274.38947,288.15686,303.89127,292.4549,265.65045,276.36777,288.78473,279.49536
Vienna,48.25,16.25,0.0017301721,0.0020329314,0.0021372698,0.0021539547,0.0005196361,0.0001380202,9.09347e-09,8.371413e-05,3.506862,3.3710828,3.1114936,3.1225035,277.29767,285.7928,296.37607,286.74136,279.4846,290.6153,301.9798,290.79388,275.08588,280.86752,290.7294,283.10147
Minsk,54.0,27.5,0.0018789059,0.0016728593,0.0026018512,0.0019292578,0.00091466715,0.00021870687,1.8159751e-08,0.00022667243,4.9924197,4.1369867,3.5239377,4.2297845,273.26007,282.43005,293.5893,282.7756,274.88016,286.9498,298.59756,286.32724,271.41058,277.35263,287.9189,279.1735
Brussels,50.75,4.25,0.0030374406,0.0021804043,0.002264565,0.0021964961,0.00013539406,4.730662e-05,1.108167e-08,2.8524752e-05,5.0357084,4.0392156,3.4827003,4.121008,279.20877,284.6499,293.2735,286.20355,281.95767,289.001,298.465,290.07425,276.48535,280.1894,287.9393,282.50458
Sarajevo,43.75,18.5,0.0023902527,0.0027953456,0.002425562,0.0033351034,0.0011023725,0.00044772844,5.917595e-07,0.0003637207,1.7609683,1.8040152,1.4639959,1.5751011,274.38834,282.54898,294.06757,285.12512,277.59097,287.4746,300.27756,290.08124,271.20676,277.71014,287.92703,280.78314
Sofia,42.75,23.25,0.0014137276,0.0023020667,0.0024253025,0.0018908938,0.000697759,0.00025186088,1.0709014e-08,0.00020853317,1.7455335,1.8429558,1.6909277,1.6787918,274.70963,284.5964,295.96756,286.6582,278.29944,289.95663,302.14154,292.08096,271.40915,279.23956,289.7901,281.9101
Zagreb,45.75,16.0,0.0019991489,0.0023247614,0.0025791458,0.0032417052,0.00033302198,8.098231e-05,1.31785045e-08,5.548285e-05,2.1516917,2.1911087,1.7969385,1.9586315,277.68436,286.86172,297.53864,287.7646,280.68256,292.05695,303.50974,292.3229,274.8223,281.80334,291.71628,283.76132
Nicosia,35.25,33.25,0.002569359,0.000988742,0.00021166839,0.0010911402,1.8264044e-06,5.3050496e-08,0.0,0.0,2.1278617,2.2718294,2.1037288,1.8430436,286.1645,292.3149,303.58206,297.21606,291.46985,298.8578,310.8119,304.12228,282.04865,286.49472,296.8739,291.86206
