name,latitude,longitude
Mariehamn,60.0,20.0
Tirana,41.25,19.75
Andorra la Vella,42.5,1.5
Yerevan,40.25,44.5
Vienna,48.25,16.25
Baku,40.5,49.75
Minsk,54.0,27.5
Brussels,50.75,4.25
Sarajevo,43.75,18.5
Sofia,42.75,23.25
Zagreb,45.75,16.0
Nicosia,35.25,33.25
Prague,50.0,14.5
Copenhagen,55.75,12.5
Tallinn,59.5,24.75
Torshavn,62.0,-6.75
Helsinki,60.25,25.0
Paris,48.75,2.25
Tbilisi,41.75,44.75
Berlin,52.5,13.5
Gibraltar,36.25,-5.25
Athens,38.0,23.75
Saint Peter Port,49.5,-2.5
Vatican City,42.0,12.5
Budapest,47.5,19.0
Reykjavik,64.25,-22.0
Dublin,53.25,-6.25
Douglas,54.25,-4.5
Rome,42.0,12.5
Saint Helier,49.25,-2.0
Pristina,42.75,21.25
Riga,57.0,24.0
Vaduz,47.25,9.5
Vilnius,54.75,25.25
Luxembourg,49.5,6.0
Skopje,42.0,21.5
Valletta,36.0,14.5
Chisinau,47.0,28.75
Monaco,43.75,7.5
Podgorica,42.5,19.25
Amsterdam,52.25,5.0
Oslo,60.0,10.75
Warsaw,52.25,21.0
Lisbon,38.75,-9.25
Bucharest,44.5,26.0
Moscow,55.75,37.5
San Marino,44.0,12.5
Belgrade,44.75,20.5
Bratislava,48.25,17.0
Ljubljana,46.0,14.5
Madrid,40.5,-3.75
Longyearbyen,78.25,15.75
Stockholm,59.25,18.0
Bern,47.0,7.5
Ankara,40.0,32.75
Kyiv,50.5,30.5
London,51.5,-0.0
North Nicosia,35.25,33.25
